				Classification 1					Classification 2						Classification 3					Classification 4 - Ontology leveraged		
organism	human adenovirus 7	4																				
organism	saccharomyces boulardii	4																				
organism	saccharomyces bayanus x saccharomyces cerevisiae	4																				
organism	human respiratory syncytial virus b1	4																				
organism	acidithiobacillus ferrooxidans	4																				
organism	xiphophorus	4																				
organism	callicebus cupreus	4																				
organism	lophura nycthemera	4																				
organism	aspergillus clavatus	4																				
organism	bordetella sp.	4																				
organism	citrus sunki x poncirus trifoloata	4																				
organism	bromus inermis	4																				
organism	musa sp.	4																				
organism	bifidobacterium breve	4																				
organism	salmonella	4																				
organism	penicillium corylophilum	3																				
organism	penicillium islandicum	3																				
organism	bipolaris sorokiniana	3																				
organism	claviceps purpurea	3																				
organism	drosophila santomea	3																				
organism	nectria rigidiuscula	3																				
organism	leptospira interrogans serovar lai str. 56601	3																				
organism	streptomyces griseus	3																				
organism	aegilops tauschii	3																				
organism	trichophyton verrucosum	3																				
organism	fusarium avenaceum	3																				
organism	drechslera sp.	3																				
organism	calyptogena kilmeri gill symbiont	3																				
organism	rhizoctonia solani	3																				
organism	fusarium sporotrichioides	3																				
organism	epidermophyton floccosum	3																				
organism	citrus trifoliata	3																				
organism	fusarium solani	3																				
organism	lactococcus phage c2	3																				
organism	penicillium rugulosum	3																				
organism	potato virus x	3																				
organism	aspergillus multicolor	3																				
organism	trichophyton terrestre	3																				
organism	penicillium funiculosum	3																				
organism	arthroderma uncinatum	3																				
organism	arthroderma gypseum	3																				
organism	senecio chrysanthemifolius	3																				
organism	arabidopsis frankenfurter	3																				
organism	rickettsia prowazekii rp22	3																				
organism	senecio aethnensis	3																				
organism	eurotium chevalieri	3																				
organism	miscanthus x giganteus	3																				
organism	aspergillus carbonarius	3																				
organism	arthroderma obtusum	3																				
organism	penicillium viridicatum	3																				
organism	listeria monocytogenes 10403s	3																				
organism	trichophyton violaceum	3																				
organism	eurotium amstelodami	3																				
organism	trichophyton longifusum	3																				
organism	penicillium italicum	3																				
organism	neisseria cinerea	3																				
organism	leptospira interrogans serovar lai	3																				
organism	arthroderma cajetani	3																				
organism	fusarium subglutinans	3																				
organism	fusarium anthophilum	3																				
organism	drosophila teissieri	3																				
organism	microsporum distortum	3																				
organism	stenocarpella maydis	3																				
organism	bacillus anthracis str. ames	3																				
organism	fusarium equiseti	3																				
organism	microsporum gallinae	3																				
organism	fusarium acuminatum	3																				
organism	tomato spotted wilt virus	3																				
organism	rickettsia prowazekii	3																				
organism	fusarium globosum	3																				
organism	fusarium cerealis	3																				
organism	brassica juncea	3																				
organism	masticophis flagellum testaceus	3																				
organism	pantherophis obsoletus lindheimeri	3																				
organism	neisseria elongata	3																				
organism	arabidopsis arenosa	3																				
organism	leptosphaerulina chartarum	3																				
organism	cochliobolus lunatus	3																				
organism	gibberella pulicaris	3																				
organism	fusarium incarnatum	3																				
organism	pantoea stewartii	3																				
organism	penicillium fellutanum	3																				
organism	tribolium castaneum	3																				
organism	trichophyton megninii	3																				
organism	penicillium expansum	3																				
organism	calyptogena pacifica gill symbiont	3																				
organism	delphinapterus leucas	3																				
organism	trichophyton schoenleinii	3																				
organism	agrotis ipsilon	3																				
organism	crotalus atrox	3																				
organism	microsporum ferrugineum	3																				
organism	trichophyton soudanense	3																				
organism	chlorocebus sabaeus	3																				
organism	arthroderma racemosum	3																				
organism	aspergillus versicolor	3																				
organism	monodelphis domestica	3																				
organism	crassostrea ariakensis	3																				
organism	alternaria alternata	3																				
organism	streptococcus suis 05zyh33	2																				
organism	porphyromonas gingivalis atcc 33277	2																				
organism	bacteroides fragilis ych46	2																				
organism	micrococcus luteus	2																				
organism	dehalococcoides sp. vs	2																				
organism	bromus secalinus	2																				
organism	populus	2																				
organism	carpus carpio	2																				
organism	european bat lyssavirus 1	2																				
organism	chrysolophus pictus	2																				
organism	rattus sp.	2																				
organism	ornithorhynchus anatinus	2																				
organism	cyanophage s rsm5	2																				
organism	butyrivibrio proteoclasticus b316	2																				
organism	pseudomonas putida kt2440	2																				
organism	strelkovimermis	2																				
organism	none	2																				
organism	lactococcus lactis subsp. cremoris nz9000	2																				
organism	human adenovirus 40	2																				
organism	human adenovirus 41	2																				
organism	candida albicans x candida dubliniensis	2																				
organism	chrysolophus amherstiae	2																				
organism	synechococcus phage s io9	2																				
organism	astatotilapia tweddlei	2																				
organism	gyps africanus	2																				
organism	petunia x hybrida	2																				
organism	gyps fulvus	2																				
organism	calyptogena magnifica symbiont	2																				
organism	python regius	2																				
organism	brachypodium distachyon	2																				
organism	isochrysis galbana	2																				
organism	methanobrevibacter ruminantium m1	2																				
organism	lilium longiflorum	2																				
organism	cyanophage s bnm1	2																				
organism	legionella longbeachae	2																				
organism	clostridium botulinum a str. atcc 3502	2																				
organism	metarhizium acridum	2																				
organism	methylosinus trichosporium ob3b	2																				
organism	manihot esculenta	2																				
organism	lactobacillus iatae	2																				
organism	locusta migratoria	2																				
organism	ricinus communis	2																				
organism	rhamphochromis sp. 'chilingali'	2																				
organism	human respiratory syncytial virus a strain long	2																				
organism	methylobacterium extorquens am1	2																				
organism	senecio x baxteri	2																				
organism	bacteroides fragilis	2																				
organism	neisseria polysaccharea	2																				
organism	callipepla californica	2																				
organism	escherichia coli bl21(de3)	2																				
organism	geobacillus sp. e263	2																				
organism	gyps rueppelli	2																				
organism	protomelas similis	2																				
organism	synechococcus phage s io17	2																				
organism	escherichia coli b	2																				
organism	synechococcus phage s io21	2																				
organism	podoviridae	2																				
organism	dehalobacter restrictus	2																				
organism	euphorbia pulcherrima	2																				
organism	triticum turgidum subsp. durum	2																				
organism	corallus hortulanus	2																				
organism	maylandia estherae	2																				
organism	synechococcus phage s rsm2	2																				
organism	ralstonia pickettii	1																				
organism	candidatus kuenenia stuttgartiensis	1																				
organism	caldicellulosiruptor owensensis	1																				
organism	lactococcus lactis subsp. hordniae	1																				
organism	enterococcus faecalis v583	1																				
organism	monosiga brevicollis	1																				
organism	anaerocellum thermophilum	1																				
organism	duvenhage virus	1																				
organism	selaginella	1																				
organism	paxillus filamentosus	1																				
organism	european bat lyssavirus 2	1																				
organism	streptomyces bikiniensis	1																				
organism	bartonella quintana	1																				
organism	clostridium baratii	1																				
organism	artificial sequences	1																				
organism	mokola virus	1																				
organism	neisseria flavescens	1																				
organism	canis lupus	1																				
organism	human echovirus 18	1																				
organism	listeria monocytogenes fsl j2 071	1																				
organism	liriodendron tulipifera	1																				
organism	human herpesvirus 1	1																				
organism	zaire ebolavirus	1																				
organism	caldicellulosiruptor lactoaceticus	1																				
organism	trichoplax adhaerens	1																				
organism	p. moluccensis	1																				
organism	pinus resinosa	1																				
organism	arabis mosaic virus	1																				
organism	bean pod mottle virus	1																				
organism	escherichia coli cft073	1																				
organism	locusta migratoria manilensis	1																				
organism	cronobacter muytjensii	1																				
organism	macroptilium atropurpureum	1																				
organism	citrus sunki	1																				
organism	staphylococcus saprophyticus subsp. saprophyticus	1																				
organism	zinnia violacea	1																				
organism	nc10 bacterium 'dutch sediment'	1																				
organism	vesicular stomatitis indiana virus	1																				
organism	clonorchis sinensis	1																				
organism	branchiostoma belcheri	1																				
organism	falco chiquera	1																				
organism	clostridium butyricum	1																				
organism	tachyglossus aculeatus	1																				
organism	geospiza magnirostris	1																				
organism	ralstonia syzygii	1																				
organism	tobacco mosaic virus	1																				
organism	clostridium argentinense	1																				
organism	streptococcus pyogenes mgas5005	1																				
organism	influenza a virus (a/texas/36/1991(h1n1))	1																				
organism	bartonella koehlerae	1																				
organism	geospiza scandens	1																				
organism	tobacco ringspot virus	1																				
organism	ceratopteris thalictroides	1																				
organism	neisseria mucosa	1																				
organism	polytrichum juniperinum	1																				
organism	streptomyces microflavus	1																				
organism	zoarces viviparus	1																				
organism	australian bat lyssavirus	1																				
organism	human adenovirus 4	1																				
organism	streptomyces tanashiensis	1																				
organism	streptomyces maritimus	1																				
organism	plum pox virus	1																				
organism	lassa virus josiah	1																				
organism	southern bean mosaic virus	1																				
organism	taraxacum officinale	1																				
organism	cronobacter malonaticus	1																				
organism	listeria monocytogenes fsl f2 208	1																				
organism	candida albicancs	1																				
organism	listeria monocytogenes fsl j1 208	1																				
organism	streptomyces cattleya	1																				
organism	streptomyces aureofaciens	1																				
organism	caldicellulosiruptor hydrothermalis	1																				
organism	neosartorya fischeri	1																				
organism	senecio vulgaris subsp. vulgaris	1																				
organism	gephyrocapsa oceanica	1																				
organism	tomato ringspot virus	1																				
organism	geospiza conirostris	1																				
organism	pavo cristatus	1																				
organism	cronobacter dublinensis	1																				
organism	hypophthalmichthys nobilis	1																				
organism	geospiza difficilis	1																				
organism	vigna unguiculata subsp. unguiculata	1																				
organism	hypophthalmichthys molitrix	1																				
organism	streptomyces fradiae	1																				
organism	streptomyces virginiae	1																				
organism	streptomyces exfoliatus	1																				
organism	streptomyces rochei	1																				
organism	d. rerio	1																				
organism	pyrococcus furiosus	1																				
organism	streptomyces venezuelae	1																				
organism	sars coronavirus tor2	1																				
organism	neosartorya fennelliae	1																				
organism	prunus necrotic ringspot virus	1																				
organism	streptomyces antibioticus	1																				
organism	caldicellulosiruptor kronotskyensis	1																				
organism	neisseria cuniculi	1																				
organism	streptosporangium roseum	1																				
organism	lactobacillus helveticus cnrz32	1																				
organism	cronobacter turicensis	1																				
organism	lagos bat virus	1																				
organism	porphyra yezoensis	1																				
organism	ectocarpus fasciulatus	1																				
organism	streptomyces reticuliscabiei	1																				
organism	plasmodium knowlesi	1																				
organism	geospiza fortis	1																				
organism	caldicellulosiruptor kristjanssonii	1																				
organism	bacillus cereus g9842	1																				
organism detected in blood culture	negative	40																				
organism detected in blood culture	staphylococcus aureus	26																				
organism detected in blood culture	escherichia coli	19																				
organism detected in blood culture	enterococcus faecalis	11																				
organism detected in blood culture	staphylococcus epidermidis	10																				
organism detected in blood culture	na	9																				
organism detected in blood culture	streptococcus pneumoniae	8																				
organism detected in blood culture	streptococcus pyogenes (a)	7																				
organism detected in blood culture	coagulase negative staphylococci (cns)	6																				
organism detected in blood culture	klebsiella pneumoniae	6																				
organism detected in blood culture	enterococcus faecium	5																				
organism detected in blood culture	streptococcus viridans	4																				
organism detected in blood culture	enterococcus sp	4																				
organism detected in blood culture	candida albicans	4																				
organism detected in blood culture	klebsiella oxytoca	4																				
organism detected in blood culture	pseudomonas aeruginosa	3																				
organism detected in blood culture	fusobacterium necrophorum	3																				
organism detected in blood culture	salmonella enteritidis	3																				
organism detected in blood culture	propionibacter sp	2																				
organism detected in blood culture	bacteroides fragilis group	2																				
organism detected in blood culture	"escherichia coli, streptococcus viridans"	2																				
organism detected in blood culture	bacillus sp	2																				
organism detected in blood culture	staphylococcus haemolyticus	2																				
organism detected in blood culture	streptococcus agalactiae (b)	2																				
organism detected in blood culture	streptococcus betahemolytic group c	1																				
organism detected in blood culture	micrococcus sp	1																				
organism detected in blood culture	streptococcus bovis (d)	1																				
organism detected in blood culture	diphtheroid	1																				
organism detected in blood culture	"fusobacterium nucleatum, micromonas micros"	1																				
organism detected in blood culture	stenotrophomonas maltophilia	1																				
organism detected in blood culture	pseudomonas like gram  rod	1																				
organism detected in blood culture	enterobacter cloacae	1																				
organism detected in blood culture	salmonella paratyphi a	1																				
organism detected in blood culture	"klebsiella pneumoniae, streptococcus sanguis"	1																				
organism detected in blood culture	enterococcus casseliflavus	1																				
organism part	liver	9787																				
organism part	lung	8516																				
organism part	blood	4799																				
organism part	bone marrow	4186																				
organism part	mammary gland	3862																				
organism part	heart	3361																				
organism part	brain	3201																				
organism part	leaf	3086																				
organism part	cardiac ventricle	2955																				
organism part	kidney	2153																				
organism part	peripheral blood	1934																				
organism part	pancreas	1799																				
organism part	hippocampus	1648																				
organism part	heart	1485																				
organism part	prostate	1414																				
organism part	cardiac ventricle	1317																				
organism part	liver	1219																				
organism part	skeletal muscle	1163																				
organism part	ovary	1092																				
organism part	skin	1051																				
organism part	colon	997																				
organism part	testis	968																				
organism part	root	957																				
organism part	whole organism	923																				
organism part	spleen	912																				
organism part	peripheral blood	819																				
organism part	cerebellum	678																				
organism part	left ventricle	672																				
organism part	lymph node	668																				
organism part	pancreas	660																				
organism part	tumor	622																				
organism part	whole blood	604																				
organism part	muscle	542																				
organism part	adipose tissue	504																				
organism part	breast	456																				
organism part	uterus	450																				
organism part	bone marrow	418																				
organism part	islet	416																				
organism part	thymus	404																				
organism part	hematopoietic and lymphatic system	385																				
organism part	spinal cord	379																				
organism part	aorta	363																				
organism part	gastric mucosae	353																				
organism part	leaves	333																				
organism part	bladder	327																				
organism part	thyroid gland	317																				
organism part	hypothalamus	316																				
organism part	adrenal gland	297																				
organism part	hippocampus ca1 4	281																				
organism part	lung	273																				
organism part	stomach	273																				
organism part	intestine	257																				
organism part	jejunum	256																				
organism part	caudate nucleus	245																				
organism part	spinal cord (t9)	244																				
organism part	amygdala	244																				
organism part	muscle tissue	242																				
organism part	retina	242																				
organism part	shoot	238																				
organism part	bark	236																				
organism part	islet	236																				
organism part	trachea	234																				
organism part	primary gastric tumor	231																				
organism part	oesophagus	227																				
organism part	bone	220																				
organism part	rosette leaf	217																				
organism part	hypocotyl	217																				
organism part	serum	215																				
organism part	flower	211																				
organism part	placenta	204																				
organism part	peripheral blood	203																				
organism part	fat	200																				
organism part	bone marrow	200																				
organism part	heart left ventricle	198																				
organism part	embryo	192																				
organism part	whole organ	190																				
organism part	liver	188																				
organism part	leaf	188																				
organism part	whole body	177																				
organism part	seed	177																				
organism part	umbilical cord	177																				
organism part	oral cavity	176																				
organism part	gastrocnemius muscle	176																				
organism part	breast tumor	172																				
organism part	cortex	170																				
organism part	leaf lamina abaxial epidermis	168																				
organism part	seminal root	168																				
organism part	prefrontal cortex	168																				
organism part	coleoptile	168																				
organism part	callus	167																				
organism part	shoot apex	165																				
organism part	artery	164																				
organism part	duodenum	162																				
organism part	synovium of knee joint	162																				
organism part	synovium of knee joint	162																				
organism part	abdomen	159																				
organism part	paw	156																				
organism part	head	156																				
organism part	whole blood	155																				
organism part	spinal cord (t10)	151																				
organism part	spinal cord (t8)	149																				
organism part	frontal lobe	148																				
organism part	islet of langerhans	148																				
organism part	femur	146																				
organism part	cord blood	146																				
organism part	heart ventricle	140																				
organism part	pituitary gland	140																				
organism part	nasal epithelium	138																				
organism part	esophagus	137																				
organism part	oropharynx	136																				
organism part	heart	135																				
organism part	endometrium	134																				
organism part	lymph node	133																				
organism part	endothelium (aorta)	133																				
organism part	epididymis	133																				
organism part	blood vessel	133																				
organism part	kidney	132																				
organism part	sigmoid colon mucosa	131																				
organism part	gill	131																				
organism part	kidney	130																				
organism part	peritoneal fat	130																				
organism part	lung cancer	130																				
organism part	aortic media	130																				
organism part	apex of cardiac ventricle	128																				
organism part	structure of apex of left ventricle	128																				
organism part	structure of apex of left ventricle	128																				
organism part	breast tissue	125																				
organism part	aerial parts	125																				
organism part	somatomotor cortex	125																				
organism part	prostate gland	125																				
organism part	adrenal tissue	124																				
organism part	olfactory mucosa	123																				
organism part	frontal cortex	123																				
organism part	flag leaf	122																				
organism part	endosperm tissue	122																				
organism part	whole seedling	122																				
organism part	5th trifoliate leaflets of 2 plants	120																				
organism part	raphe magnus	119																				
organism part	"back, skin"	117																				
organism part	salivary gland	113																				
organism part	endothelium (aorta)	113																				
organism part	skin	112																				
organism part	large intestine	112																				
organism part	dorsal root ganglion	112																				
organism part	cerebral cortex	110																				
organism part	myometrium	108																				
organism part	first leaf unfolded	108																				
organism part	epidermis	106																				
organism part	thyroid	105																				
organism part	decidua basalis	104																				
organism part	rosette	103																				
organism part	fruit	103																				
organism part	genomic dna	102																				
organism part	adipose	101																				
organism part	mammary gland	101																				
organism part	dermis	100																				
organism part	tuber	100																				
organism part	cervix tumor	99																				
organism part	non tumoral	98																				
organism part	skeletal muscle	98																				
organism part	neuroepithelium	96																				
organism part	hypopharynx	95																				
organism part	lymph node tumor	94																				
organism part	extraocular muscle	94																				
organism part	nodule	92																				
organism part	vastus lateralis	91																				
organism part	common carotid artery	90																				
organism part	right median lobe	88																				
organism part	foreskin	87																				
organism part	tumor	86																				
organism part	ileum	85																				
organism part	subcutaneous adipose tissue	84																				
organism part	ventricle	83																				
organism part	cotyledons	83																				
organism part	mesenteric adipose tissue	82																				
organism part	pulmonary artery	81																				
organism part	small intestine	81																				
organism part	umbilical cord blood	80																				
organism part	gastrocnemius muscles	80																				
organism part	forebrain	79																				
organism part	whole brain	79																				
organism part	mucosa of duodenum	78																				
organism part	midgut	78																				
organism part	gluteal fat	78																				
organism part	back skin	78																				
organism part	primary shoot	77																				
organism part	abdominal fat	77																				
organism part	lens	77																				
organism part	left lobe	76																				
organism part	gastrocnemius/soleus muscle	76																				
organism part	epididymal adipose tissue	75																				
organism part	right main bronchus	74																				
organism part	descending colon	73																				
organism part	lung	73																				
organism part	placental basal plate	72																				
organism part	umbilical vein	72																				
organism part	above ground tissue	72																				
organism part	the region above the infartion lad artery	72																				
organism part	neuroepithelium	72																				
organism part	colon mucosa	71																				
organism part	dentate	71																				
organism part	optic nerve head	70																				
organism part	bronchus	70																				
organism part	left median lobe	69																				
organism part	ca 3	68																				
organism part	central nervous system	67																				
organism part	right lung	67																				
organism part	cartilage	66																				
organism part	eye	65																				
organism part	midbrain	63																				
organism part	mycelium	62																				
organism part	non neoplastic tissues	62																				
organism part	non neoplastic tissues	62																				
organism part	tumor	62																				
organism part	prostate	62																				
organism part	parieto occipital cortex	61																				
organism part	root tip	61																				
organism part	hemolymph	61																				
organism part	dorsolateral prefrontal cortex	61																				
organism part	seedling	61																				
organism part	olfactory epithelium	60																				
organism part	gdna bac fragment	60																				
organism part	pancreatic islets	60																				
organism part	atrial myocardium	60																				
organism part	submandibular glands	60																				
organism part	endosperm	60																				
organism part	somatic embryo	59																				
organism part	right ear surface	59																				
organism part	soleus muscle	59																				
organism part	pleura	59																				
organism part	bronchial epithelium	58																				
organism part	substantia nigra	58																				
organism part	cervix	57																				
organism part	all	57																				
organism part	umbilical cord	56																				
organism part	seminiferous tubule	55																				
organism part	tongue	55																				
organism part	seedling   aerial parts	55																				
organism part	cotyledon	55																				
organism part	right hind paw	53																				
organism part	whole rosette leaves	53																				
organism part	rectum	52																				
organism part	whole shoot	51																				
organism part	mammary gland; breast	50																				
organism part	quadriceps femoris muscle	49																				
organism part	cochlea	49																				
organism part	striatum	48																				
organism part	left ear surface	48																				
organism part	inflorescence	48																				
organism part	brain stem	48																				
organism part	cortex	48																				
organism part	midbrain	48																				
organism part	testis	48																				
organism part	mesonephros	47																				
organism part	terminal ileum	46																				
organism part	whole	46																				
organism part	rosette leaves	46																				
organism part	the region between the lad artery and the apex	46																				
organism part	skin	46																				
organism part	suprachiasmatic nucleus	45																				
organism part	entorhinal cortex	45																				
organism part	cerebral meninges	45																				
organism part	dorsolateral prefrontal cortex	44																				
organism part	connective tissue	44																				
organism part	leaf 7+8	44																				
organism part	t8 spinal segment (location of trauma)	44																				
organism part	white adipose tissue	43																				
organism part	adductor muscle	43																				
organism part	es	43																				
organism part	"white, adipocyte"	43																				
organism part	skeletal muscle vastus lateralis	42																				
organism part	leaves 1 and 2	42																				
organism part	diaphragm muscle	42																				
organism part	tail bud	42																				
organism part	grain	42																				
organism part	cardiac muscle	42																				
organism part	nodose ganglion visceral sensory neurons	41																				
organism part	thymus gland	41																				
organism part	caryopsis	41																				
organism part	atrial tissue	40																				
organism part	sciatic nerve	40																				
organism part	"gastrocnemius and soleus muscle, hind limb"	40																				
organism part	entire tibial plateau	40																				
organism part	apical region	40																				
organism part	condyle	40																				
organism part	cartilage	40																				
organism part	whole head	39																				
organism part	radicle	39																				
organism part	brain subventricular zone	39																				
organism part	epidydimal white adipose tissue	38																				
organism part	caudal to trauma	38																				
organism part	vulva	38																				
organism part	liver (embryonic)	38																				
organism part	whole animal	38																				
organism part	haemolymphoid system	37																				
organism part	rostral to trauma	37																				
organism part	dorsal root ganglion visceral sensory neurons	37																				
organism part	anterior cingulate cortex	37																				
organism part	whole preimplantation embryo	36																				
organism part	abdominal fatbody	36																				
organism part	"frontal cortex, primary motor cortex, brodmann's area 4"	36																				
organism part	bed nucleus of the stria terminalis	36																				
organism part	head and thorax	36																				
organism part	tooth germ	36																				
organism part	wing imaginal disc	36																				
organism part	apices	36																				
organism part	5mm leaf disk	36																				
organism part	leaves 2 and 3 combined	36																				
organism part	embryonic stem cells	35																				
organism part	decidua	35																				
organism part	cervix uteri	35																				
organism part	medial gastrocnemius	34																				
organism part	olfactory bulb	34																				
organism part	roots	34																				
organism part	diaphragm	34																				
organism part	brown adipose tissue	33																				
organism part	alveolus	33																				
organism part	macrophages	33																				
organism part	broca's area	33																				
organism part	tibialis anterior	33																				
organism part	ventral tegmental area	33																				
organism part	cingulate cortex	32																				
organism part	proximal colon	32																				
organism part	blastocyst	32																				
organism part	tumoral	32																				
organism part	tonsil	32																				
organism part	ascending colon	32																				
organism part	cerebellum	32																				
organism part	10days after pollination kernels	32																				
organism part	cervix	31																				
organism part	stamen	31																				
organism part	brain hemisphere	31																				
organism part	bursa	31																				
organism part	medial temporal lobe	31																				
organism part	root susceptible zone	31																				
organism part	back skin	31																				
organism part	cerebellum (vermis)	30																				
organism part	petiole	30																				
organism part	vastus lateralis muscle	30																				
organism part	zygotic embryo	30																				
organism part	spike	30																				
organism part	accumbens	30																				
organism part	genital ridges	30																				
organism part	chorioamniotic membrane	30																				
organism part	"frontal cortex, superior motor cortex, brodmann's area 9"	30																				
organism part	whole embryo except yolk and amnion	30																				
organism part	murine hippocampus	29																				
organism part	smooth muscle	29																				
organism part	nucleus accumbens shell	29																				
organism part	dorsal neural tube	29																				
organism part	larynx	29																				
organism part	both ventricles	29																				
organism part	nucleus accumbens shell	29																				
organism part	dorsal hypothalamus	28																				
organism part	mucosa	28																				
organism part	cancerous liver tissue	28																				
organism part	retroperitoneal adipose tissue	28																				
organism part	whole preimplantation embryos	28																				
organism part	ventral hypothalamus	28																				
organism part	brain frontal cortex	28																				
organism part	nodules	28																				
organism part	apex	28																				
organism part	pollen grain	28																				
organism part	dorsal epaxial fast muscle	28																				
organism part	eye discs	28																				
organism part	anterior pituitary	28																				
organism part	ventral forebrain	28																				
organism part	primary tumor	27																				
organism part	interventricular septum	27																				
organism part	lacrimal glands	27																				
organism part	caecum	27																				
organism part	right presomitic mesoderm (posterior half)	27																				
organism part	adult leaf	27																				
organism part	lower lobe lung	27																				
organism part	distal colon	27																				
organism part	pyriform sinus	27																				
organism part	hindlimb muscle	27																				
organism part	neocortex	27																				
organism part	spleen	27																				
organism part	biceps femoris	26																				
organism part	knee synovium	26																				
organism part	non cancerous liver tissue	26																				
organism part	thoracic aorta	26																				
organism part	areal part	26																				
organism part	tonsil	25																				
organism part	langerhans cell histiocytosis lesion	25																				
organism part	tibialis anterior muscle	25																				
organism part	testes	25																				
organism part	stem	25																				
organism part	leaves 1 + 2	25																				
organism part	wing/haltere/third leg	25																				
organism part	atrial chamber	25																				
organism part	xenograft	25																				
organism part	extracardiac body tissue	24																				
organism part	hepatopancreas	24																				
organism part	para tracheal lymph node	24																				
organism part	kidney medulla	24																				
organism part	kidney cortex	24																				
organism part	shoot meristem	24																				
organism part	micropylar endosperm	24																				
organism part	leaf bud	24																				
organism part	vastus lateralis skeletal muscle	24																				
organism part	"brain, occipital cortex"	24																				
organism part	acinar	24																				
organism part	humerus	24																				
organism part	"shoot apex, inflorescence (after bolting)"	24																				
organism part	substantia nigra pars compacta	24																				
organism part	mantle	24																				
organism part	fat body	24																				
organism part	carpel	24																				
organism part	colorectal	24																				
organism part	seed cotyledo	24																				
organism part	stomach	23																				
organism part	bronchial lymph node	23																				
organism part	trichome	23																				
organism part	vestibular nerve	23																				
organism part	wbc	23																				
organism part	umbilical cord vein	23																				
organism part	pistil	23																				
organism part	nodose root ganglion	23																				
organism part	bronchus or trachea	22																				
organism part	xylem	22																				
organism part	periaqueductal grey	22																				
organism part	pbmc	22																				
organism part	bursa of fabricius	22																				
organism part	whole shoots	22																				
organism part	cornea	22																				
organism part	tumour sample	22																				
organism part	subcutaneous abdominal adipose tissue	22																				
organism part	floral bud	22																				
organism part	mucosa from proximal duodenum	22																				
organism part	preputial gland	22																				
organism part	pancreatic islet	22																				
organism part	pancreas	22																				
organism part	b7.5 lineage cells	21																				
organism part	reference	21																				
organism part	extensor digitorum longus	21																				
organism part	"brain, prefrontal cortex"	21																				
organism part	pons	21																				
organism part	brain orbitofrontal cortex	21																				
organism part	brainstem	21																				
organism part	brown fat	21																				
organism part	edge of left lobe	21																				
organism part	mesothelium	21																				
organism part	peripheral blood or tonsil	20																				
organism part	whole embryo except amnion	20																				
organism part	tissue	20																				
organism part	fruit skin and pulp	20																				
organism part	hindlimb	20																				
organism part	metanephric mesenchyme	20																				
organism part	dentate gyrus	20																				
organism part	uterus;ovary	20																				
organism part	dorsal root ganglia	20																				
organism part	petal	20																				
organism part	fruit cortex	20																				
organism part	splenocytes and lymph nodes	20																				
organism part	pancreatic progenitor	20																				
organism part	thalamus	20																				
organism part	nervous system	20																				
organism part	retina	20																				
organism part	uterus;ovary	20																				
organism part	brain	20																				
organism part	breast epithelium	19																				
organism part	facs purified beta cells	19																				
organism part	breast tumour	19																				
organism part	brain cerebrum cortex	19																				
organism part	"75% liver, 25% kidney"	19																				
organism part	peyer's patch	19																				
organism part	endometrium/ovary	19																				
organism part	"bone, lumbar spinal laminae"	19																				
organism part	backskin	19																				
organism part	arterial	19																				
organism part	"25% liver, 75% kidney"	19																				
organism part	epididymal fat	19																				
organism part	submandibulary salivary gland	19																				
organism part	supraoptic nucleus	19																				
organism part	ureteric bud	19																				
organism part	normal blood	19																				
organism part	cord blood	18																				
organism part	calvaria	18																				
organism part	caudal fin	18																				
organism part	fast skeletal muscle	18																				
organism part	polysome fraction	18																				
organism part	putamen	18																				
organism part	palatine tonsil	18																				
organism part	paxillus involutus/betula pendula mixed tissue	18																				
organism part	brain cortex	18																				
organism part	tooth	18																				
organism part	non lung	18																				
organism part	alveolar macrophages	18																				
organism part	peripheral blood mononuclear cells	18																				
organism part	heart intra ventricular septum	18																				
organism part	heart left ventricle free wall	18																				
organism part	anterior kidney	18																				
organism part	pectoral limb)	18																				
organism part	lung	18																				
organism part	skin	17																				
organism part	mid secretory phase endometrium	17																				
organism part	nucleus accumbens	17																				
organism part	embryonic stem cell	17																				
organism part	white and grey matter in the middle cerebral artery	17																				
organism part	base of tongue	17																				
organism part	gut	17																				
organism part	primary tumour	17																				
organism part	primary tumour cell line	17																				
organism part	tooth germ incisal tip	17																				
organism part	gastrocnemius and soleus muscle	17																				
organism part	animal cap	17																				
organism part	tooth germ adjacent segment	17																				
organism part	inner ear	17																				
organism part	bone marrow	17																				
organism part	blood	16																				
organism part	superior mesenteric artery	16																				
organism part	tail	16																				
organism part	ventral	16																				
organism part	penis	16																				
organism part	hind limb	16																				
organism part	synovial membrane	16																				
organism part	apex and young leaves	16																				
organism part	periaqueductal gray	16																				
organism part	endoneurium	16																				
organism part	breast stroma	16																				
organism part	anterior tibialis	16																				
organism part	flowering fruit peel	16																				
organism part	aerial	16																				
organism part	right vastus lateralis	16																				
